Field,from,to,guild1,guild2,interaction_type,weight
536,Sp2,Apis_mellifera,plant,pollinator,pollination,2
536,Sp1,Palpada_34,plant,pollinator,pollination,2
536,Sp1,Rachiplusia_nu,plant,lepidoptera,herbivory,5
536,Sp14,Achyra_bifidalis,plant,lepidoptera,herbivory,15
536,Sp14,Lepi_18,plant,lepidoptera,herbivory,2
536,Sp14,Tatochila_sp,plant,lepidoptera,herbivory,1
536,Sp3,Augochlora_7,plant,pollinator,pollination,2
536,Sp3,Braconidae_94,plant,pollinator,pollination,1
536,Sp3,Oxysarcodexia_78,plant,pollinator,pollination,2
536,Sp3,Palpada_34,plant,pollinator,pollination,4
536,Sp3,Tabanidae_81,plant,pollinator,pollination,1
536,Sp3,Tachinidae_82,plant,pollinator,pollination,1
536,Lepi_18,Dip_faltaID,lepidoptera,parasitoid,parasitoidism,1
536,Sp4,Pseudoagapostemon_37,plant,pollinator,pollination,1
536,Sp6,Palpada_34,plant,pollinator,pollination,1
536,Sp5,Toxomerus_47,plant,pollinator,pollination,1
536,Rachiplusia_nu,Dip_7,lepidoptera,parasitoid,parasitoidism,1
536,Rachiplusia_nu,Hym_1,lepidoptera,parasitoid,parasitoidism,1
536,Rachiplusia_nu,Hym_2,lepidoptera,parasitoid,parasitoidism,1
536,Sp11,Pyrgus_sp,plant,lepidoptera,herbivory,2
536,Sp16,Augochlorella_8,plant,pollinator,pollination,3
536,Sp16,Palpada_34,plant,pollinator,pollination,3
536,Sp16,Toxomerus_47,plant,pollinator,pollination,1
536,Sp21,Augochlorella_8,plant,pollinator,pollination,1
536,Sp21,Toxomerus_47,plant,pollinator,pollination,1
537,Sp2,Apis_mellifera,plant,pollinator,pollination,2
537,Sp2,Hypercompe_indecisa,plant,lepidoptera,herbivory,19
537,Sp2,Oiketicus_sp,plant,lepidoptera,herbivory,1
537,Sp2,Palpada_34,plant,pollinator,pollination,11
537,Sp2,Pseudoagapostemon_37,plant,pollinator,pollination,1
537,Sp2,Toxomerus_47,plant,pollinator,pollination,1
537,Sp7,Palpada_34,plant,pollinator,pollination,1
537,Sp8,Hypercompe_indecisa,plant,lepidoptera,herbivory,1
537,Sp8,Lepi_17,plant,lepidoptera,herbivory,1
537,Sp8,Lepi_22,plant,lepidoptera,herbivory,1
537,Sp1,Lepi_18,plant,lepidoptera,herbivory,1
537,Sp1,Palpada_34,plant,pollinator,pollination,1
537,Sp1,Rachiplusia_nu,plant,lepidoptera,herbivory,16
537,Sp14,Achyra_bifidalis,plant,lepidoptera,herbivory,11
537,H14_H18,Paracles_sp.,plant,lepidoptera,herbivory,3
537,H14_H18,Spilosoma_virginica,plant,lepidoptera,herbivory,25
537,H19,Hypercompe_indecisa,plant,lepidoptera,herbivory,10
537,H25_H28,Paracles_sp.,plant,lepidoptera,herbivory,1
537,Sp3,Augochlora_7,plant,pollinator,pollination,1
537,Sp3,Oxysarcodexia_78,plant,pollinator,pollination,2
537,Sp3,Palpada_34,plant,pollinator,pollination,6
537,Sp3,Toxomerus_47,plant,pollinator,pollination,2
537,Hypercompe_indecisa,Dip_2,lepidoptera,parasitoid,parasitoidism,1
537,Hypercompe_indecisa,Dip_3,lepidoptera,parasitoid,parasitoidism,1
537,Hypercompe_indecisa,Dip_faltaID,lepidoptera,parasitoid,parasitoidism,1
537,Sp19,Apis_mellifera,plant,pollinator,pollination,5
537,Sp19,Palpada_34,plant,pollinator,pollination,1
537,Portulaca_oleracea,Augochlorella_8,plant,pollinator,pollination,1
537,Rachiplusia_nu,Dip_6,lepidoptera,parasitoid,parasitoidism,2
537,Rachiplusia_nu,Dip_7,lepidoptera,parasitoid,parasitoidism,1
537,Rachiplusia_nu,Hym_1,lepidoptera,parasitoid,parasitoidism,5
537,Sp11,Lepi_5,plant,lepidoptera,herbivory,1
537,Solanum_sisymbriifolium,Palpada_34,plant,pollinator,pollination,3
537,Sp21,Augochlora_7,plant,pollinator,pollination,1
537,Sp21,Palpada_34,plant,pollinator,pollination,1
537,Sp21,Paracles_sp.,plant,lepidoptera,herbivory,3
537,Spilosoma_virginica,Dip_faltaID,lepidoptera,parasitoid,parasitoidism,3
537,Trifolium_repens,Palpada_34,plant,pollinator,pollination,1
538,Sp1,Palpada_34,plant,pollinator,pollination,1
540,Sp2,Apis_mellifera,plant,pollinator,pollination,1
