Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
536,Lepi_1,Diptera,herbivore,parasitoid,parasitoidism,1
536,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,1
536,Lepi_1,Hym2,herbivore,parasitoid,parasitoidism,1
536,Lepi_18,Hym10,herbivore,parasitoid,parasitoidism,1
536,Lepi_18,Hym5,herbivore,parasitoid,parasitoidism,1
536,pl1,Lepi_1,plant,herbivore,herbivory,5
536,pl1,po18,plant,pollinator,pollination,1
536,pl1,po28,plant,pollinator,pollination,1
536,pl1,po34,plant,pollinator,pollination,2
536,pl14,Lepi_16,plant,herbivore,herbivory,11
536,pl14,Lepi_18,plant,herbivore,herbivory,2
536,pl14,Lepi_9,plant,herbivore,herbivory,1
536,pl18,po47,plant,pollinator,pollination,1
536,pl18,po8,plant,pollinator,pollination,1
536,pl19,po47,plant,pollinator,pollination,1
536,pl2,po34,plant,pollinator,pollination,3
536,pl2,po47,plant,pollinator,pollination,1
536,pl2,po8,plant,pollinator,pollination,3
536,pl21,po37,plant,pollinator,pollination,1
536,pl22,po34,plant,pollinator,pollination,1
536,pl4,po34,plant,pollinator,pollination,4
536,pl4,po7,plant,pollinator,pollination,2
536,pl4,po78,plant,pollinator,pollination,2
536,pl4,po81,plant,pollinator,pollination,1
536,pl4,po82,plant,pollinator,pollination,1
536,pl4,po94,plant,pollinator,pollination,1
536,pl5,po2,plant,pollinator,pollination,2
536,pl9,Lepi_14,plant,herbivore,herbivory,2
537,Lepi_1,Diptera,herbivore,parasitoid,parasitoidism,2
537,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,4
537,Lepi_15,Diptera,herbivore,parasitoid,parasitoidism,3
537,pl1,Lepi_1,plant,herbivore,herbivory,14
537,pl1,Lepi_18,plant,herbivore,herbivory,1
537,pl1,po28,plant,pollinator,pollination,1
537,pl1,po34,plant,pollinator,pollination,1
537,pl1,po58,plant,pollinator,pollination,1
537,pl14,Lepi_16,plant,herbivore,herbivory,11
537,pl18,po34,plant,pollinator,pollination,1
537,pl18,po7,plant,pollinator,pollination,1
